mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
264.0828_2.65,40694.2644927536,234637.91666666666,193943.65217391305,rel_abund,Control,Tomato,12,23,2.5354078445051504,0.0188,22.03213597646318,7410.62423757342,73977.90474793379,T-test,two.sided,*
264.1356_4.68,34520.47101449276,98841.16666666667,64320.69565217391,rel_abund,Control,Tomato,12,23,5.808059061209005,7.31e-6,22.249091953172293,22202.30548138035,46838.63654760517,T-test,two.sided,****
264.2473_9.82,19657.978260869564,49661.5,30003.521739130436,rel_abund,Control,Tomato,12,23,2.57788891503735,0.0185,18.806899025914866,3686.2919959910614,35629.66452574806,T-test,two.sided,*
2669.5853_8.27,14843.137681159416,70324.83333333333,55481.69565217391,rel_abund,Control,Tomato,12,23,2.0727625888047747,0.049,24.19696411120241,69.8395731465511,29616.43578917228,T-test,two.sided,*
267.1947_4.31,-401482.82608695654,0,401482.82608695654,rel_abund,Control,Tomato,12,23,-12.697865432516421,1.33e-11,22,-467054.82515032415,-335910.8270235889,T-test,two.sided,****
267.1948_4.4,-1043868,0,1043868,rel_abund,Control,Tomato,12,23,-10.680146769329788,3.6e-10,22,-1246566.5001614066,-841169.4998385934,T-test,two.sided,****
268.0741_3.47,7569.771739130432,43156.25,35586.47826086957,rel_abund,Control,Tomato,12,23,2.3822790682628687,0.0283,18.203647412048237,899.3706072482331,14240.17287101263,T-test,two.sided,*
268.1665_4.94,-15267.695652173914,0,15267.695652173914,rel_abund,Control,Tomato,12,23,-6.364057069078439,2.1e-6,22,-20243.022315387498,-10292.368988960327,T-test,two.sided,****
274.1566_5.58,35613.47101449276,83955.16666666667,48341.69565217391,rel_abund,Control,Tomato,12,23,2.6559552494213987,0.0199,12.881204226123238,6618.096433727979,64608.84559525754,T-test,two.sided,*
281.173_2.89,-30696.434782608696,17384,48080.434782608696,rel_abund,Control,Tomato,12,23,-2.8900153411286698,0.011,15.395803484273342,-53285.13983303522,-8107.729732182165,T-test,two.sided,*
281.1734_2.98,-30862.043478260868,0,30862.043478260868,rel_abund,Control,Tomato,12,23,-7.560044619715951,1.49e-7,22,-39328.12589041112,-22395.961066110624,T-test,two.sided,****
281.2718_7.81,-157472.39130434778,534184,691656.3913043478,rel_abund,Control,Tomato,12,23,-2.433405450901968,0.0298,13.23189843763084,-297027.15938736865,-17917.623221326932,T-test,two.sided,*
282.1811_7.87,6624.898550724636,29244.333333333332,22619.434782608696,rel_abund,Control,Tomato,12,23,2.1201700452830132,0.0454,22.189375972184664,147.86932524994054,13101.927776199334,T-test,two.sided,*
283.1899_3,-69831.51086956522,84561.75,154393.26086956522,rel_abund,Control,Tomato,12,23,-2.9961972618968082,0.00638,23.336347164955743,-118006.69825835263,-21656.32348077781,T-test,two.sided,**
288.1724_5.81,83652.38043478261,197388.25,113735.86956521739,rel_abund,Control,Tomato,12,23,2.6800823319962173,0.019,12.920897325609408,16179.63529164709,151125.1255779181,T-test,two.sided,*
298.0878_3.2,-21733.340579710148,28638.833333333332,50372.17391304348,rel_abund,Control,Tomato,12,23,-2.2769431028927385,0.0377,15.130699438465737,-42062.65484025627,-1404.0263191640295,T-test,two.sided,*
302.1883_5.97,-7709.300724637682,3300.9166666666665,11010.217391304348,rel_abund,Control,Tomato,12,23,-4.212885541727252,1.83e-4,32.99578627017671,-11432.34664998121,-3986.2547992941527,T-test,two.sided,***
303.2043_4.24,12844.268115942032,37460.833333333336,24616.565217391304,rel_abund,Control,Tomato,12,23,2.176703373556925,0.0439,17.001276543079424,394.7620010850109,25293.774230799052,T-test,two.sided,*
304.1136_2.69,-62238.41666666667,106088.58333333333,168327,rel_abund,Control,Tomato,12,23,-2.9669610763438823,0.00602,28.559511936278064,-105170.28699234132,-19306.54634099201,T-test,two.sided,**
306.182_5.81,21134.38405797101,54083.166666666664,32948.782608695656,rel_abund,Control,Tomato,12,23,2.8936359934687754,0.0116,14.212562157798692,5491.356786392908,36777.41132954911,T-test,two.sided,*
